FanDuel,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
9.561647415,PG,Cameron,Payne,7.1,17,3600,OKC@CHA,OKC,CHA,,
13.77313995,PG,C.J.,Watson,13.1,8,3600,ORL@CLE,ORL,CLE,O,Calf
12.63123703,PG,Greivis,Vasquez,15.6,16,3600,MIL@MIN,MIL,MIN,O,Ankle
11.73732471,SG,Devin,Harris,14.9,27,3600,NO@DAL,DAL,NO,GTD,Back
10.82208824,PG,Steve,Blake,10.9,27,3600,DET@IND,DET,IND,,
12.04226303,SF,Shabazz,Muhammad,11.7,33,3600,MIL@MIN,MIN,MIL,,
19.01476097,PF,Trey,Lyles,8.2,29,3600,MEM@UTA,UTA,MEM,,
3.632490635,PG,Russ,Smith,3.7,15,3500,MEM@UTA,MEM,UTA,,
8.778429031,SF,Joe,Ingles,7.8,30,3500,MEM@UTA,UTA,MEM,,
9.005148888,C,Johnny,O'Bryant,9.1,31,3500,MIL@MIN,MIL,MIN,,
6.471869946,SF,James,Jones,6.1,27,3500,ORL@CLE,CLE,ORL,,
6.43994236,C,Shayne,Whittington,3.1,2,3500,DET@IND,IND,DET,,
8.091762543,SF,Mario,Hezonja,7.2,29,3500,ORL@CLE,ORL,CLE,,
3.912966728,C,Joel,Anthony,3.3,8,3500,DET@IND,DET,IND,,
8.700227737,C,JaVale,McGee,8.8,13,3500,NO@DAL,DAL,NO,,
6.824989319,SF,Mike,Miller,5.3,25,3500,DEN@GS,DEN,GS,,
8.174495697,C,Dewayne,Dedmon,10.9,19,3500,ORL@CLE,ORL,CLE,,
14.20308113,SG,Danny,Green,15.5,34,3500,HOU@SA,SA,HOU,,
8.560198784,PG,Toney,Douglas,11.5,18,3500,NO@DAL,NO,DAL,,
9.21777916,C,Aron,Baynes,10.6,32,3500,DET@IND,DET,IND,,
2.125576019,C,Salah,Mejri,2.2,5,3500,NO@DAL,DAL,NO,,
6.456194878,SG,John,Jenkins,5.3,14,3500,NO@DAL,DAL,NO,,
2.831037045,SG,Darrun,Hilliard,3.5,10,3500,DET@IND,DET,IND,,
9.290438652,PF,Adreian,Payne,7.1,24,3500,MIL@MIN,MIN,MIL,,
10.61973572,C,Alexis,Ajinca,11,23,3500,NO@DAL,NO,DAL,,
5.154490948,SF,Damjan,Rudez,3.4,15,3500,MIL@MIN,MIN,MIL,,
2.596722841,SG,Joe,Harris,1.7,5,3500,ORL@CLE,CLE,ORL,,
10.35686398,SF,Luc Richard,Mbah a Moute,6,32,3500,PHI@LAC,LAC,PHI,,
4.066637993,SG,Erick,Green,0.9,3,3500,DEN@GS,DEN,GS,,
3.592678547,SF,Steve,Novak,2.9,5,3500,OKC@CHA,OKC,CHA,,
4.790752888,SF,James,Ennis,3.7,8,3500,MEM@UTA,MEM,UTA,,
9.389788628,PF,Richaun,Holmes,11.3,24,3500,PHI@LAC,PHI,LAC,,
12.34075546,SF,Hollis,Thompson,15.2,34,3500,PHI@LAC,PHI,LAC,O,Eye
3.866324425,SG,Rashad,Vaughn,4.2,26,3500,MIL@MIN,MIL,MIN,,
11.48496914,SF,Jakarr,Sampson,10.3,33,3500,PHI@LAC,PHI,LAC,,
11.64868069,PF,Josh,Smith,14.4,29,3500,PHI@LAC,LAC,PHI,,
12.20918942,PF,Kevin,Garnett,13.2,28,3500,MIL@MIN,MIN,MIL,,
8.47992897,C,Kendrick,Perkins,6.7,8,3500,NO@DAL,NO,DAL,,
8.443656921,SF,Chase,Budinger,10,32,3500,DET@IND,IND,DET,,
3.09277463,SG,Troy,Daniels,3.3,13,3500,OKC@CHA,CHA,OKC,,
7.114237309,PF,Dante,Cunningham,9.7,32,3500,NO@DAL,NO,DAL,,
6.797588825,SG,Chris,Johnson,4.1,22,3500,MEM@UTA,UTA,MEM,,
7.545233727,PG,D.J.,Augustin,8.7,31,3500,OKC@CHA,OKC,CHA,,
3.188640356,SG,Roy Devyn,Marble,0.9,6,3500,ORL@CLE,ORL,CLE,,
