PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN14,FGM14,FGA14,FG_PCT14,FG3M14,FG3A14,FG3_PCT14,FTM14,FTA14,FT_PCT14,OREB14,DREB14,REB14,AST14,TOV14,STL14,BLK14,BLKA14,PF14,PFD14,PTS14,PLUS_MINUS14,DD2,TD3,CFID,CFPARAMS
203512,Lucas Nogueira,1610612761,TOR,22,6,3,3,0.5,3.8,0.3,1.3,0.25,0,0,0,0.3,0.7,0.5,0.3,1.5,1.8,0.2,0.3,0.3,0,0,1,0.3,1,-1.8,0,0,5,"2,035,121,610,612,760"
203515,Phil Pressey,1610612738,BOS,24,50,22,28,0.44,12,1.3,3.5,0.368,0.3,1.3,0.246,0.7,1,0.673,0.3,1.3,1.6,2.3,0.8,0.6,0.1,0.3,1.1,1.1,3.5,0,1,0,5,"2,035,151,610,612,730"
203516,James Ennis,1610612748,MIA,24,62,27,35,0.435,17,1.6,4,0.409,0.5,1.5,0.326,1.3,1.5,0.84,0.8,2,2.8,0.8,0.6,0.4,0.3,0.4,1.4,1.1,5,-0.1,1,0,5,"2,035,161,610,612,740"
203521,Matthew Dellavedova,1610612739,CLE,24,67,43,24,0.642,20.6,1.7,4.6,0.362,1,2.5,0.407,0.4,0.6,0.763,0.6,1.3,1.9,3,0.9,0.4,0,0.3,2.3,1,4.8,0.6,2,0,5,"2,035,211,610,612,730"
203524,Solomon Hill,1610612754,IND,24,82,38,44,0.463,29,3.1,7.7,0.396,0.8,2.5,0.327,1.9,2.4,0.824,0.9,3,3.8,2.2,1.4,0.8,0.2,0.7,2.2,2,8.9,-2.2,1,0,5,"2,035,241,610,612,750"
203527,Ryan Kelly,1610612747,LAL,24,52,11,41,0.212,23.7,2,5.9,0.337,0.9,2.6,0.336,1.5,1.8,0.832,0.3,2.6,2.8,1.8,0.7,0.6,0.5,0.2,2.3,1.1,6.4,-2.8,0,0,5,"2,035,271,610,612,740"
203530,Joffrey Lauvergne,1610612743,DEN,23,24,9,15,0.375,11.2,1.5,3.7,0.404,0.1,0.7,0.188,0.8,1.2,0.643,1.1,2.1,3.2,0.5,0.9,0.3,0.4,0.6,1.8,0.9,3.9,-4.5,0,0,5,"2,035,301,610,612,740"
203539,Gal Mekel,1610612740,NOP,27,4,2,2,0.5,10.9,0.8,5,0.15,0,0.8,0,0,0,0,0,0.3,0.3,3.3,0.5,0.5,0,0.8,0.3,0.3,1.5,0.5,0,0,5,"2,035,391,610,612,740"
203540,Gigi Datome,1610612738,BOS,27,21,11,10,0.524,10,2,4.2,0.483,0.9,1.9,0.45,0,0,1,0.1,1.2,1.4,0.4,0.4,0.1,0.3,0,0.7,0.4,5,3.2,0,0,5,"2,035,401,610,612,730"
203544,Pero Antic,1610612737,ATL,32,63,46,17,0.73,16.5,1.7,4.7,0.365,0.8,2.7,0.301,1.4,2,0.715,0.9,2.1,3,0.8,0.8,0.3,0.2,0.3,2.1,2,5.7,2.5,0,0,5,"2,035,441,610,612,730"
